component,category,subcategory,baseline_date,Spring_flag,Winter_flag,projected_fiscal_year,projected_year_number,value
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1987,4,396
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1988,5,437.7
revenue,Individual Income Taxes,Individual Income Taxes,1984-02-01,FALSE,TRUE,1989,6,477.9
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1983,0,37.022
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1984,1,62.3
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1985,2,64.8
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1986,3,71.1
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1987,4,81.3
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1988,5,84.9
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-02-01,FALSE,TRUE,1989,6,85.1
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1983,0,208.994
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1984,1,237.3
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1985,2,268.6
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1986,3,295.6
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1987,4,319.6
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1988,5,354.4
revenue,Payroll Taxes,Payroll Taxes,1984-02-01,FALSE,TRUE,1989,6,382.1
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1983,0,35.3
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1984,1,37.7
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1985,2,37.6
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1986,3,32.7
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1987,4,31.9
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1988,5,32.5
revenue,Excise Taxes,Excise Taxes,1984-02-01,FALSE,TRUE,1989,6,33.2
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1983,0,6.053
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1984,1,5.9
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1985,2,5.6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1986,3,5.1
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1987,4,4.6
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1988,5,4.3
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-02-01,FALSE,TRUE,1989,6,4.7
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1983,0,8.655
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1984,1,10.2
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1985,2,11.3
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1986,3,11.6
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1987,4,11.8
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1988,5,12.2
revenue,Customs Duties,Customs Duties,1984-02-01,FALSE,TRUE,1989,6,12.8
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1983,0,15.6
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1984,1,16
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1985,2,16.3
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1986,3,17.1
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1987,4,18
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1988,5,19
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-02-01,FALSE,TRUE,1989,6,20
revenue,Total,Total,1984-08-01,FALSE,FALSE,1984,1,672.9
revenue,Total,Total,1984-08-01,FALSE,FALSE,1985,2,751.19
revenue,Total,Total,1984-08-01,FALSE,FALSE,1986,3,810.867
revenue,Total,Total,1984-08-01,FALSE,FALSE,1987,4,881.117
revenue,Total,Total,1984-08-01,FALSE,FALSE,1988,5,964.582
revenue,Total,Total,1984-08-01,FALSE,FALSE,1989,6,1041.559
revenue,Individual Income Taxes,Individual Income Taxes,1984-08-01,FALSE,FALSE,1984,1,302.1
revenue,Individual Income Taxes,Individual Income Taxes,1984-08-01,FALSE,FALSE,1985,2,342.155
revenue,Individual Income Taxes,Individual Income Taxes,1984-08-01,FALSE,FALSE,1986,3,374.793
revenue,Individual Income Taxes,Individual Income Taxes,1984-08-01,FALSE,FALSE,1987,4,410.886
revenue,Individual Income Taxes,Individual Income Taxes,1984-08-01,FALSE,FALSE,1988,5,454.292
revenue,Individual Income Taxes,Individual Income Taxes,1984-08-01,FALSE,FALSE,1989,6,498.031
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-08-01,FALSE,FALSE,1984,1,59.8
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-08-01,FALSE,FALSE,1985,2,65.849
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-08-01,FALSE,FALSE,1986,3,73.49
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-08-01,FALSE,FALSE,1987,4,85.539
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-08-01,FALSE,FALSE,1988,5,90.994
revenue,Corporate Income Taxes,Corporate Income Taxes,1984-08-01,FALSE,FALSE,1989,6,95.789
revenue,Payroll Taxes,Payroll Taxes,1984-08-01,FALSE,FALSE,1984,1,239.1
revenue,Payroll Taxes,Payroll Taxes,1984-08-01,FALSE,FALSE,1985,2,267.624
revenue,Payroll Taxes,Payroll Taxes,1984-08-01,FALSE,FALSE,1986,3,289.785
revenue,Payroll Taxes,Payroll Taxes,1984-08-01,FALSE,FALSE,1987,4,310.707
revenue,Payroll Taxes,Payroll Taxes,1984-08-01,FALSE,FALSE,1988,5,345.134
revenue,Payroll Taxes,Payroll Taxes,1984-08-01,FALSE,FALSE,1989,6,372.298
revenue,Excise Taxes,Excise Taxes,1984-08-01,FALSE,FALSE,1984,1,37.5
revenue,Excise Taxes,Excise Taxes,1984-08-01,FALSE,FALSE,1985,2,38.803
revenue,Excise Taxes,Excise Taxes,1984-08-01,FALSE,FALSE,1986,3,35.496
revenue,Excise Taxes,Excise Taxes,1984-08-01,FALSE,FALSE,1987,4,35.98
revenue,Excise Taxes,Excise Taxes,1984-08-01,FALSE,FALSE,1988,5,34.886
revenue,Excise Taxes,Excise Taxes,1984-08-01,FALSE,FALSE,1989,6,34.41
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-08-01,FALSE,FALSE,1984,1,6.1
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-08-01,FALSE,FALSE,1985,2,5.657
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-08-01,FALSE,FALSE,1986,3,5.401
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-08-01,FALSE,FALSE,1987,4,5.036
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-08-01,FALSE,FALSE,1988,5,4.78
revenue,Estate and Gift Taxes,Estate and Gift Taxes,1984-08-01,FALSE,FALSE,1989,6,4.778
revenue,Customs Duties,Customs Duties,1984-08-01,FALSE,FALSE,1984,1,11
revenue,Customs Duties,Customs Duties,1984-08-01,FALSE,FALSE,1985,2,12.766
revenue,Customs Duties,Customs Duties,1984-08-01,FALSE,FALSE,1986,3,13.396
revenue,Customs Duties,Customs Duties,1984-08-01,FALSE,FALSE,1987,4,14.063
revenue,Customs Duties,Customs Duties,1984-08-01,FALSE,FALSE,1988,5,14.76
revenue,Customs Duties,Customs Duties,1984-08-01,FALSE,FALSE,1989,6,15.487
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-08-01,FALSE,FALSE,1984,1,16.8
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-08-01,FALSE,FALSE,1985,2,18.336
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-08-01,FALSE,FALSE,1986,3,18.506
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-08-01,FALSE,FALSE,1987,4,18.906
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-08-01,FALSE,FALSE,1988,5,19.736
revenue,Miscellaneous Receipts,Miscellaneous Receipts,1984-08-01,FALSE,FALSE,1989,6,20.766
revenue,Total,Total,1985-02-01,FALSE,TRUE,1984,0,666.438
revenue,Total,Total,1985-02-01,FALSE,TRUE,1985,1,734.94
revenue,Total,Total,1985-02-01,FALSE,TRUE,1986,2,788.44
revenue,Total,Total,1985-02-01,FALSE,TRUE,1987,3,855.244
revenue,Total,Total,1985-02-01,FALSE,TRUE,1988,4,934.198
revenue,Total,Total,1985-02-01,FALSE,TRUE,1989,5,1004.514
revenue,Total,Total,1985-02-01,FALSE,TRUE,1990,6,1087.634
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1984,0,298.415
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1985,1,333.171
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1986,2,361.442
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1987,3,392.9
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1988,4,432.063
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1989,5,471.24
revenue,Individual Income Taxes,Individual Income Taxes,1985-02-01,FALSE,TRUE,1990,6,514.698
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1984,0,56.893
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1985,1,62.515
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1986,2,71.125
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1987,3,88.485
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1988,4,96.235
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1989,5,101.789
revenue,Corporate Income Taxes,Corporate Income Taxes,1985-02-01,FALSE,TRUE,1990,6,107.307
